ID,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,Class
0,2,161,Silver,6,5,-28.5865005575107,7,0,5,0,19,No,12,-9.18997409963659,3,0,15,27,78,6,13,25,33,10.5609742921083,19,0,-3.33289584728047,1,0,2,2,0,-0.469342537564782,27,0,47,2,Male,-2.78716566042404,23,49,18,-22.8882025985285,51,No,6,6,644,7,1.34097797710468,12,2,25,0,26.3599970329936,0,Medium,0,1,3,5,0,0,51,0
1,3,76,Gold,0,3,-35.6247573819187,0,0,0,0,5,No,3,2.5679812406628,0,0,4,1,24,2,3,1,15,-34.3773627357787,3,0,0.845842871481527,0,1,0,0,2,0.032863898957228,5,0,9,6,Female,-116.749287035186,9,13,2,-2.7645415213162,10,No,2,2,204,4,2.35825177743413,2,0,8,0,19.8605128011894,1,Low,0,0,6,3,0,0,10,0
2,0,74,Diamond,0,2,-34.0931277387546,3,0,0,0,4,No,8,0.598275614205258,0,0,7,5,24,3,10,2,26,-29.5973712170256,5,0,-0.368270431983526,0,0,0,2,0,3.25264978447749,12,0,11,4,Female,-113.746921898559,21,10,5,-2.70518390570784,12,Yes,3,3,245,4,0.339763262280808,5,2,12,0,14.1427228493585,0,Low,0,0,0,2,0,0,12,2
3,6,180,Platinum,2,11,3.14369029270313,38,11,1,1,34,No,41,-0.64073837954499,2,0,31,47,73,8,37,11,55,2.55914276785938,23,1,-11.5392516821487,0,8,0,12,0,19.605548292396,4,4,61,34,Male,25.8522973129605,51,36,17,2.35485109065786,24,Yes,8,8,832,20,-9.75814368587452,2,12,32,11,15.1056625568206,0,Low,0,0,14,11,10,2,24,3
4,2,185,Platinum,2,17,-1.19752701762706,27,7,2,0,37,Yes,32,-19.6632877219075,1,0,20,46,133,21,34,43,55,25.0205655415604,12,0,-18.4244707664417,0,7,0,9,7,-6.83717555642867,7,5,103,25,Male,73.8673157948095,52,60,38,1.12225414508154,41,Yes,21,21,1032,27,5.94668662841565,0,9,36,7,-13.9217679195764,4,Low,1,10,13,17,37,1,41,0
5,6,186,Silver,10,8,28.6714729287562,65,6,8,0,32,Yes,68,-3.94177467643698,5,2,10,47,127,21,18,23,61,34.5543390368025,20,0,6.90576047919521,0,4,1,5,2,-6.10796067291009,30,2,95,3,Female,78.243352504097,52,69,45,-25.9790009615124,72,No,21,21,1019,38,-15.5006101506774,0,5,51,6,-28.2011302320399,5,High,2,5,10,8,0,2,72,1
6,0,44,Gold,1,1,-36.3370736597546,0,0,0,0,3,No,4,-0.277942731319465,0,0,1,3,7,4,4,2,8,-37.2637613831454,1,0,1.17357983454851,0,1,0,1,0,-0.80213185256813,1,3,10,0,Female,-149.854439759409,3,6,4,1.24069001232395,5,Yes,4,4,116,0,2.62558161061815,8,1,10,0,6.1423576786452,0,Medium,0,0,0,1,0,0,5,2
7,0,120,Diamond,2,3,-21.4432899550816,14,2,0,0,7,Yes,10,-7.58424268137289,1,0,8,12,50,10,15,14,36,-13.2630915084787,12,0,-1.78690699387967,0,3,0,3,6,3.85319507653123,10,2,36,4,Male,-52.5699381522657,30,30,10,-1.11023187775396,20,Yes,10,10,450,9,0.450096528978275,2,3,25,2,20.9683337156845,0,Medium,0,3,1,3,0,1,20,2
8,0,161,Platinum,3,9,-10.0541434163913,27,2,4,0,19,Yes,23,1.14825480349872,5,0,9,20,72,8,18,10,49,-6.82708730948629,7,0,-3.92278918671741,1,6,0,3,0,-0.743510807921181,7,1,53,10,Female,-1.42844220186756,33,33,6,-7.41519135577842,30,Yes,8,8,599,7,-6.87383355782666,0,3,20,2,26.9317552939586,0,Low,2,1,6,9,2,4,30,0
9,0,33,Gold,0,1,-29.4975262445806,9,0,0,0,4,Yes,6,1.79080233927816,0,0,1,7,15,3,0,1,4,-35.227201866144,0,0,3.46038211251378,0,0,0,0,0,-3.69226531001093,1,0,12,4,Female,-153.829512378912,5,11,0,-4.94172733495121,12,No,3,3,150,0,-3.09039106888814,0,0,6,0,-0.356429630413836,0,Low,0,1,0,1,0,0,12,2
10,3,353,Platinum,1,26,3.76623694477633,33,2,7,0,33,Yes,30,13.0260473498365,18,1,22,78,199,17,15,14,171,40.6289317626101,44,0,3.944865146115,0,5,11,1,0,12.7925803647254,28,6,135,16,Male,270.442197895092,79,101,20,-22.2760003414877,73,Yes,17,17,1661,12,1.27648818315848,6,1,64,2,63.4509578049088,0,Low,0,0,24,26,0,6,73,0
11,0,79,Gold,0,1,-7.43896916990804,25,3,2,1,10,No,22,-4.30716029873879,1,0,1,23,51,19,8,6,33,-21.7962713978197,9,0,8.92778962418813,0,1,0,5,6,0.847471958753501,5,1,42,10,Male,-79.72056463249,18,16,22,8.00870924178263,11,Yes,19,19,431,5,2.52309502800509,0,5,21,3,-15.4885151375095,0,Low,0,2,3,1,3,1,11,0
12,0,76,Diamond,0,3,-27.3005186198689,7,1,1,0,6,Yes,9,2.25487201663322,3,0,9,13,42,6,7,2,25,-26.39570102188,2,0,2.58158584572611,1,3,1,1,0,-1.8596474653213,16,0,30,1,Female,-97.4860574368516,16,12,8,-4.58874526914109,17,Yes,6,6,301,5,2.43613341453363,9,1,19,1,3.26452569192412,3,Low,0,0,8,3,0,1,17,2
13,2,206,Gold,14,40,55.5883040594179,73,12,8,1,43,No,77,6.67392213003978,14,0,29,78,140,40,31,28,72,47.3055924373205,34,0,-6.73044000775439,3,5,9,17,15,0.414548184200167,38,17,111,20,Male,114.723892343867,67,70,69,16.5762092051393,49,Yes,40,40,1367,28,4.86094540596272,0,17,56,12,-47.4773898375847,2,Low,1,3,43,40,9,2,49,0
14,2,29,Silver,0,0,-33.6839209562534,5,0,0,0,4,Yes,7,0.538632473399416,0,0,2,4,12,1,4,1,7,-35.9650024433713,3,0,1.17516290225945,0,0,0,0,0,1.34997280129461,3,0,10,0,Male,-158.256091386463,3,8,2,-3.57594116135456,9,Yes,1,1,128,2,-2.56269544883286,0,0,7,0,-2.53879417049793,0,Low,0,0,0,0,0,0,9,2
15,0,31,Gold,0,8,-26.2586947701985,7,0,0,0,5,Yes,10,0.935557661223744,0,0,5,1,18,5,5,5,8,-37.1141655509283,1,0,-4.22106217314387,0,1,0,1,0,-1.95528874245392,8,0,10,0,Female,-151.889458649248,6,13,5,8.04855661197964,0,Yes,5,5,156,2,2.84474925010629,0,1,6,0,-6.12643749916653,1,Medium,0,0,13,8,0,0,0,2
